	1	2	3	4	5	6	7	8	9
MIR378H	0	0	0	0	0	0	0	1	0
CNOT8	1032	1022	1332	1215	1202	1401	1111	1176	1658
GEMIN5	753	696	797	874	1028	928	732	752	981
MRPL22	326	336	539	428	491	545	349	373	462
AC008410.1	0	0	0	0	0	0	0	0	0
KIF4B	0	1	0	0	1	1	0	0	1
AC010476.1	0	0	0	0	0	0	0	0	0
AC010591.1	0	0	0	0	0	0	0	0	0
AC008725.1	0	0	0	0	0	0	0	0	0
RNA5SP199	0	0	0	0	0	0	0	0	0
SGCD	0	1	0	0	0	0	10	11	7
AC027308.1	0	0	0	0	0	0	0	0	0
AC025434.1	0	0	0	0	0	0	0	0	0
RNU6-556P	0	0	0	0	0	0	0	0	0
PPP1R2B	1	0	0	1	0	0	0	0	0
TIMD4	0	0	0	0	0	0	0	0	0
APOOP1	0	0	0	0	0	0	0	0	0
HAVCR1	0	0	0	0	0	0	0	0	0
HAVCR2	4	0	3	4	2	6	2	2	3
AC011377.1	0	0	0	0	0	0	0	0	0
MED7	186	211	221	196	238	212	172	177	207
ITK	4	4	3	21	19	11	4	15	14
FAM71B	0	0	0	0	0	0	0	0	0
AC010609.1	0	0	0	0	0	0	0	0	0
AC009185.1	5	6	1	5	1	0	7	1	2
CYFIP2	4234	3314	3276	2902	3626	3087	4085	3363	3693
AC008676.3	0	2	3	1	0	1	0	1	1
FNDC9	0	0	0	0	0	0	0	0	0
AC016571.1	2	0	0	2	1	0	0	3	0
AC008676.1	1	2	1	1	0	0	2	0	0
ADAM19	1118	1401	1936	841	1221	1085	979	1062	927
AC008676.2	0	0	0	0	0	0	0	0	0
NIPAL4	1	4	11	10	5	12	5	12	23
AC106801.1	0	0	0	0	0	0	0	0	0
RNU6-390P	0	0	0	0	0	0	0	0	0
AC008694.2	1	0	0	0	0	0	0	0	0
SOX30	2	1	7	7	8	4	6	3	0
C5orf52	0	0	0	0	0	1	0	0	0
AC008694.1	0	0	0	0	0	0	0	0	0
THG1L	209	224	334	304	283	326	224	213	376
LSM11	105	140	206	128	159	219	115	166	251
AC026407.1	0	0	0	0	0	0	0	0	0
CLINT1	1690	1393	1735	1581	1839	1793	1462	1398	1907
RNU6-260P	0	0	0	0	0	0	0	0	0
AC008677.2	0	0	0	0	0	0	0	0	0
RNU2-48P	0	0	0	0	0	0	0	0	0
MARK2P11	0	0	0	0	0	0	0	0	0
AC008677.1	0	0	0	0	0	0	1	0	0
AC008677.3	0	0	0	0	0	0	0	0	0
AC025437.5	0	0	0	0	0	0	0	0	0
AC025437.4	0	0	0	0	0	0	0	0	0
AC025437.6	0	0	0	0	0	0	0	0	0
AC025437.3	0	0	0	0	0	0	0	0	0
AC025437.2	0	0	0	0	0	0	0	0	0
AC025437.1	0	0	0	0	0	0	0	0	0
LINC02227	0	0	0	0	0	0	0	0	0
AC091979.1	0	0	0	0	0	0	0	0	0
AC091979.2	0	0	0	0	0	0	0	0	0
AC091939.1	0	0	0	0	0	0	0	0	0
EBF1	0	0	0	2	1	1	0	0	0
AC136424.2	0	0	0	0	0	0	0	0	0
AC136424.1	0	0	0	0	0	0	0	0	0
LINC02202	0	0	0	0	0	0	0	0	0
AC134043.2	0	0	0	0	0	0	0	0	0
RNF145	4528	4586	5130	6975	7819	6420	4368	4556	5379
AC134043.1	1	1	0	1	1	0	0	0	3
LINC01932	0	1	0	0	0	0	0	0	0
RF00263	0	0	0	0	0	0	0	0	0
UBLCP1	784	779	812	783	838	787	748	728	851
AC008691.1	0	0	0	0	0	0	0	0	0
IL12B	0	0	0	0	0	0	0	0	0
RNU4ATAC2P	0	0	0	0	0	0	0	0	0
LINC01845	0	0	0	0	0	0	0	0	0
AC008703.1	0	0	1	0	2	0	0	0	0
LINC01847	0	0	0	0	0	0	0	0	0
ADRA1B	61	42	28	38	36	28	119	93	105
GAPDHP40	1	2	0	0	3	0	4	0	5
TTC1	1478	1370	1391	1384	1713	1420	1501	1382	1307
AC068657.1	0	0	0	0	0	0	0	0	0
PWWP2A	380	293	355	450	467	516	520	518	713
FABP6	2	3	6	2	3	4	0	1	2
AC008609.1	0	0	0	0	0	0	0	0	0
AC112191.1	0	0	0	0	0	0	0	0	0
CCNJL	279	257	320	275	342	350	349	314	413
AC112191.2	0	0	0	2	0	0	1	0	0
AC112191.3	0	0	0	0	0	0	0	0	0
C1QTNF2	0	13	17	19	17	26	23	30	68
ZBED8	144	116	169	141	123	168	140	128	227
SLU7	1583	1396	1613	1767	1768	1806	1465	1307	1701
PTTG1	761	1077	2144	1312	1790	2626	1242	1768	3589
MIR3142HG	0	0	0	0	0	0	1	0	1
MIR3142	0	0	0	0	0	0	0	0	0
MIR146A	0	0	0	0	0	0	0	0	0
ATP10B	74	56	45	58	93	59	480	405	294
AC008456.1	0	0	0	0	1	0	0	0	0
AC011363.1	1	0	0	0	1	0	0	0	0
LINC02159	1	0	0	0	0	0	0	0	0
GABRB2	205	150	46	140	169	109	486	394	272
GABRA6	0	0	1	0	0	0	0	0	1
AC091944.1	0	0	0	0	0	0	0	0	0
GLRXP3	0	0	0	0	0	0	0	0	0
GABRA1	0	1	0	0	0	1	0	3	0
LINC01202	0	0	0	0	0	0	0	0	0
GABRG2	0	0	0	0	0	0	1	1	0
AC113414.1	9	5	6	6	5	9	2	2	5
RNU6-164P	0	0	0	0	0	0	0	0	0
ARL2BPP5	0	0	0	0	0	0	0	0	0
MRPL57P6	0	0	0	0	0	0	0	0	0
AC008723.1	0	0	0	0	0	0	0	0	0
CCNG1	3203	3142	3696	2963	2682	2546	1986	1796	2255
NUDCD2	510	521	629	558	570	697	543	593	708
HMMR	112	209	475	319	439	831	114	227	790
HMMR-AS1	0	0	0	0	0	0	0	0	0
MAT2B	669	618	947	939	966	1066	656	704	1000
AC010291.1	0	0	0	0	0	0	0	0	0
AC116917.1	0	0	0	0	0	0	0	0	0
RNU6-168P	0	0	0	0	0	0	0	0	0
AC008432.1	0	0	0	0	0	0	0	0	0
LSM1P2	0	0	0	0	0	0	0	0	0
AC008662.1	0	0	1	0	0	0	0	0	0
AC008662.2	0	0	0	0	0	0	0	0	0
AC109466.1	0	0	0	1	1	0	1	2	1
LINC02143	0	0	0	0	0	0	0	0	0
AC008446.1	0	0	0	0	0	0	0	0	0
RNU6-209P	0	0	0	0	0	0	0	0	0
AC091973.1	0	0	0	0	0	0	0	0	0
LINC01938	0	0	0	0	0	0	0	0	0
AC008415.1	0	0	0	0	0	0	0	0	0
RN7SKP60	0	0	0	0	0	0	0	0	0
AC008562.1	0	0	0	0	0	0	0	0	0
AC008489.1	0	0	0	0	0	0	0	0	0
RPL7P20	0	0	0	0	0	1	0	0	3
AC114321.1	0	0	0	0	0	0	0	0	0
AC026403.1	33	33	43	39	58	25	44	31	68
LINC01947	0	0	0	0	0	0	0	0	0
AC091819.2	0	0	0	0	0	0	0	0	0
AC091819.1	0	0	0	0	0	0	0	0	0
TENM2	387	356	480	2612	2917	2378	766	603	957
AC091820.2	0	0	0	0	1	0	1	0	0
AC091820.1	2	0	0	0	0	0	0	0	0
AC008601.1	0	0	0	0	0	0	0	0	0
AC008708.2	0	0	0	0	0	0	0	0	0
AC008708.1	0	1	0	4	2	3	0	0	0
AC008464.1	0	1	2	0	2	1	0	0	0
AC008705.1	0	0	0	0	0	0	0	0	0
AC011369.1	2	1	0	1	1	0	2	1	0
AC011369.2	5	0	5	2	3	1	0	1	0
CTB-178M22.2	23	16	13	29	32	23	43	43	32
WWC1	6585	5503	5284	4231	4369	4295	5587	4843	4258
RARS	1641	1533	1591	1438	1732	1654	1149	1203	1492
FBLL1	149	139	224	70	54	125	54	56	171
PANK3	2229	1886	1929	1610	1744	1709	1953	1950	2297
SLC2A3P1	0	0	0	0	0	0	0	0	0
MIR103A1	0	0	0	0	0	0	0	0	0
MIR103B1	0	0	0	0	0	0	0	0	0
RPL10P9	659	650	852	9	5	16	255	218	311
AC011365.2	0	0	0	0	0	0	0	0	3
SLIT3	2771	2864	2970	778	832	894	868	803	623
AC011365.1	0	0	0	0	0	0	0	0	0
MIR218-2	0	0	0	0	0	0	0	0	0
AC011389.2	0	0	0	0	0	0	0	0	0
AC011389.3	0	0	0	0	0	0	0	0	0
AC011389.1	0	0	0	0	0	0	0	0	0
MIR585	0	0	0	0	0	0	0	0	0
RNU6-477P	0	0	0	0	0	0	0	0	0
SPDL1	322	441	723	591	737	1074	345	451	960
DOCK2	63	81	115	43	81	74	35	63	51
AC008680.1	0	1	0	0	0	0	0	0	0
INSYN2B	84	61	75	180	141	132	31	27	63
MIR378E	0	0	0	0	0	0	0	0	0
FOXI1	6	2	13	2	9	2	4	2	4
KRT18P41	0	0	0	0	0	0	0	0	0
LINC01187	0	0	0	0	0	0	0	0	0
C5orf58	1	1	0	1	1	3	0	0	0
LCP2	10	6	3	25	38	22	9	9	16
AC034199.1	0	0	0	0	0	0	0	0	0
LINC01366	1	0	3	0	0	2	0	3	1
KCNIP1	1275	969	814	577	556	426	571	572	361
KCNMB1	15	11	10	8	12	7	9	15	14
CTD-2270F17.1	0	0	0	0	0	0	0	0	0
AC008619.1	22	15	50	4	1	7	12	8	9
AC027312.1	0	0	0	0	0	0	0	0	0
AC008514.1	0	0	0	0	0	0	0	0	0
GABRP	0	0	2	0	0	0	0	0	2
RANBP17	60	91	76	72	81	98	86	79	135
RN7SL623P	0	0	0	0	0	0	0	0	0
AC008514.2	2	1	3	0	1	4	1	2	2
AC010306.1	0	0	0	0	1	0	0	0	0
AC091980.2	0	0	0	0	0	0	0	0	0
TLX3	0	0	0	0	0	0	0	0	0
AC091980.1	0	0	0	0	0	0	0	0	0
RN7SL339P	0	0	0	0	0	0	0	0	0
RPSAP71	0	0	0	0	0	0	0	0	0
SNORA70J	0	0	0	0	0	0	0	0	0
RPL10P8	0	0	0	0	0	0	0	0	0
MIR3912	0	0	0	0	0	0	0	0	0
NPM1	8229	8238	10435	9633	10083	11221	6356	6947	10013
FGF18	2	0	4	1	1	3	0	1	3
AC022440.1	0	0	0	0	0	1	1	0	0
AC011410.1	0	0	0	0	0	0	0	0	0
SMIM23	0	0	0	0	0	0	0	0	0
FBXW11	3311	2627	2934	2556	2753	2599	3319	2955	3472
STK10	942	865	963	571	720	617	1107	942	882
EFCAB9	0	2	1	0	0	0	2	0	0
UBTD2	812	758	811	1072	1179	1158	767	787	1008
KLF3P1	0	0	0	0	0	0	0	0	0
SH3PXD2B	5731	4441	5176	5232	6043	6820	5513	4878	6488
LINC01944	0	0	0	0	0	0	0	0	0
AC027309.3	0	0	0	0	0	0	0	0	0
NEURL1B	245	324	735	203	354	569	470	658	1143
AC027309.2	0	1	2	0	2	1	3	2	0
MIR5003	0	0	0	0	0	0	0	0	0
AC027309.1	0	0	0	0	0	0	0	0	0
AC022217.2	0	0	0	0	0	0	0	0	0
AC022217.1	2	0	1	0	0	0	1	0	1
AC022217.3	5	0	0	1	0	0	0	1	0
DUSP1	2919	2908	3142	1571	2073	1117	2452	2298	1266
AC022217.4	0	0	0	0	0	0	0	0	0
AC110011.1	0	0	1	0	0	0	0	0	0
ERGIC1	7038	6791	6780	5598	6472	5926	4997	4606	4927
AC008429.1	10	10	12	19	18	14	29	21	25
AC008429.3	0	0	0	0	0	1	0	0	0
RPL26L1	512	522	706	498	541	584	490	468	729
AC008429.2	0	0	0	0	0	0	0	0	0
ATP6V0E1	3840	3471	3619	3333	3412	2641	3640	2995	2798
AC008429.4	0	0	1	1	0	0	0	0	1
SNORA74B	0	0	0	0	0	0	0	0	0
CREBRF	377	269	309	335	289	267	361	255	235
CDC42P5	0	0	0	0	0	0	0	0	0
AC008378.1	0	0	0	0	0	0	0	0	0
BNIP1	223	221	289	212	254	334	224	220	383
RPL7AP33	0	0	0	0	0	0	1	0	3
NKX2-5	0	0	1	25	18	16	56	53	87
RNA5SP200	0	0	0	0	0	0	0	0	0
STC2	3098	2716	4840	1862	919	2448	597	447	1510
MIR8056	0	0	0	0	0	0	0	0	0
RNU6-500P	0	0	0	0	0	0	0	0	0
AC016573.1	1	2	3	4	1	3	1	2	1
AC008632.1	5	3	1	0	0	0	0	0	0
AC008663.1	1	2	0	2	1	1	0	0	1
AC008663.3	0	0	0	0	0	0	0	0	0
AC008663.2	0	0	0	0	0	0	0	0	0
BOD1	1113	1027	1571	1364	1288	1608	1065	1064	1636
LINC01863	0	0	0	0	0	0	0	0	0
LINC01942	0	0	0	0	2	0	0	0	0
LINC01484	0	0	0	0	0	0	0	0	0
LINC01485	1	0	0	0	0	0	0	0	0
CPEB4	802	559	698	662	609	601	1066	872	1064
C5orf47	1	1	0	0	1	3	3	0	1
RPL12P22	0	0	0	0	0	0	0	0	0
NSG2	10	9	8	9	6	12	100	115	62
AC113423.1	0	0	0	0	0	0	0	0	0
AC113423.2	0	1	1	0	2	0	1	0	0
AC011333.1	0	0	0	0	0	0	0	0	0
AC025752.1	0	0	0	0	0	0	0	0	0
LINC01411	431	456	330	183	171	91	127	115	52
GAPDHP71	7	2	1	1	3	0	3	2	1
SUMO2P6	0	0	0	1	0	0	0	0	0
AC108112.1	0	0	0	0	0	0	0	0	0
HIGD1AP3	0	0	0	0	0	0	0	0	0
MSX2	2376	1884	1799	2083	2752	1885	2473	2212	2113
AC113346.2	0	0	0	0	0	0	0	0	0
MIR4634	0	0	0	0	0	0	0	0	0
AC113346.1	1	2	7	1	2	0	0	1	0
LINC01951	1	0	0	3	1	0	0	0	0
NIFKP2	0	0	0	0	0	0	0	0	0
AC008413.1	0	0	0	0	0	0	0	0	0
AC008413.2	0	0	0	0	0	0	0	0	0
ARL2BPP6	0	0	0	0	0	0	0	0	0
DRD1	400	284	375	390	435	383	65	53	74
SFXN1	1750	1705	2000	1507	1783	1663	1952	1767	2205
AC091393.1	0	0	0	0	0	0	0	0	0
RN7SKP148	0	0	0	0	0	0	0	0	0
HRH2	947	939	833	616	582	473	1475	1027	787
RNU6-226P	0	0	0	0	0	0	0	0	0
CPLX2	17	21	46	7	3	3	84	88	88
AC138965.3	0	0	0	0	0	0	0	0	0
AC138965.2	0	0	0	0	0	0	0	0	0
THOC3	93	102	142	105	122	132	83	90	122
AC138965.1	0	0	0	0	0	0	0	0	0
OR1X1P	0	0	0	0	0	0	0	0	0
AC139491.3	0	0	0	0	0	0	0	0	0
AC139491.1	0	0	0	0	0	0	0	0	0
FAM153B	0	0	0	0	0	0	0	0	0
AC139491.7	0	0	1	0	0	0	0	0	0
AC139491.5	0	0	0	0	0	0	0	0	0
AC139491.4	0	0	0	0	0	0	0	0	0
AC139491.2	0	0	0	2	1	0	2	1	2
AC139491.6	0	0	0	0	0	0	0	0	0
AC139493.2	0	0	1	1	0	1	0	0	0
AC139493.1	0	0	0	0	0	0	0	0	0
SIMC1	318	249	290	232	287	318	296	257	367
BRCC3P1	3	6	4	12	7	6	3	6	5
KIAA1191	5462	4745	5372	4275	4811	4664	5592	4706	5446
AC138956.1	0	0	0	0	0	0	0	0	0
AC138956.2	0	0	0	0	0	0	0	0	0
ARL10	1563	1446	1551	1763	1872	1851	1724	1710	1977
MIR1271	0	0	0	0	0	0	0	0	0
NOP16	302	321	377	335	392	425	260	285	344
HIGD2A	1519	1380	1427	1322	1529	1325	1628	1391	1414
CLTB	1287	1257	1269	1075	1367	1108	1366	1203	1222
AC010297.1	0	0	0	0	0	0	0	0	0
FAF2	2232	1965	2436	2230	2581	2632	2163	2079	3026
RNF44	1434	1227	1604	1581	1530	1540	1818	1474	1793
CDHR2	5	3	4	9	6	5	4	5	1
RN7SL684P	0	0	0	0	0	0	0	0	0
GPRIN1	250	328	664	221	369	499	360	452	834
SNCB	0	4	6	3	0	3	13	4	5
MIR4281	0	0	0	0	0	0	0	0	0
EIF4E1B	0	0	0	0	0	0	0	0	0
TSPAN17	1797	1662	1981	1792	1980	1977	1604	1414	1645
AC113391.1	0	0	0	0	0	0	0	0	0
AC113391.2	0	0	0	0	0	0	0	0	0
LINC01574	0	0	0	0	0	0	0	0	0
UNC5A	100	75	32	35	38	25	76	74	27
HK3	2	0	0	0	1	1	2	0	0
UIMC1	606	562	712	607	710	685	660	631	680
ZNF346	479	469	521	474	522	567	523	485	613
ZNF346-IT1	3	2	2	1	4	1	1	1	4
FGFR4	69	57	42	48	53	21	115	136	111
NSD1	2222	1649	1992	1278	1641	1717	2002	1914	2664
AC146507.2	0	0	0	0	0	0	0	1	0
PRMT1P1	0	1	0	1	0	3	1	0	0
RAB24	51	28	40	61	56	55	50	55	46
MXD3	73	129	200	218	295	398	158	266	357
PRELID1	2364	2322	2831	2154	2630	2676	2130	2116	2739
LMAN2	3886	3698	4514	4143	4424	4548	3436	3331	4006
AC146507.1	0	0	0	0	0	0	0	0	0
RGS14	226	219	264	94	107	111	168	168	191
SLC34A1	0	0	0	0	0	0	0	0	0
PFN3	0	0	0	0	0	0	0	0	0
F12	24	28	19	36	46	26	52	61	73
GRK6	693	774	1277	719	829	1221	628	711	1290
PRR7-AS1	42	17	30	32	42	36	28	24	25
PRR7	354	278	237	244	330	265	275	256	217
DBN1	15432	13987	10726	12606	15040	11625	13353	11671	9522
AC145098.2	20	20	43	15	6	49	20	21	17
PDLIM7	3788	3820	3695	2800	3059	2734	2619	2341	1863
AC145098.1	1	5	0	3	1	0	1	2	2
DOK3	40	39	70	35	52	53	30	31	48
DDX41	2506	2162	1941	1842	2320	1752	2369	2078	1783
FAM193B	498	436	537	615	678	529	699	619	589
AC139795.3	6	20	8	3	6	6	5	8	8
TMED9	4926	4735	5917	4219	5005	5332	4377	3956	5008
B4GALT7	823	729	725	742	883	698	748	612	632
AC139795.2	63	56	71	69	89	73	72	72	81
AC139795.1	21	13	16	27	17	22	23	25	32
AC138819.1	0	0	0	0	0	0	0	0	1
FAM153A	0	0	0	0	0	0	0	0	1
AC140125.2	0	0	0	0	0	0	0	0	0
AC140125.1	0	0	0	0	0	0	0	0	0
AC106795.1	71	70	93	102	119	125	106	83	149
OR1X5P	0	0	0	0	0	0	0	0	0
AC140125.3	0	0	0	0	0	0	0	0	0
AC106795.3	1	1	0	0	1	1	0	1	0
AC106795.2	14	10	14	16	20	19	9	8	9
AC106795.5	0	0	0	1	0	0	0	0	2
SUDS3P1	3	2	3	2	12	4	4	2	5
PROP1	0	0	0	0	0	0	0	0	0
FAM153C	0	0	0	0	0	0	0	0	0
AC136632.1	8	18	6	12	5	8	4	2	8
N4BP3	107	98	184	121	103	170	83	75	143
RMND5B	782	653	867	684	740	824	875	775	1034
NHP2	1602	1513	1793	1592	1830	1883	1406	1468	1501
AC136632.2	1	0	0	0	0	0	0	0	0
GMCL2	0	0	0	0	0	0	0	0	0
HNRNPAB	2262	2431	2921	2816	3534	3526	2534	3030	3781
PHYKPL	283	208	322	311	322	320	368	288	373
COL23A1	217	177	404	38	61	65	91	74	107
AC136601.2	0	0	0	0	0	0	0	0	0
AC136601.1	12	14	20	4	5	1	0	2	3
RN7SL646P	0	0	0	0	0	0	0	0	0
AC008659.1	0	0	0	0	0	0	0	0	0
CLK4	142	206	202	250	219	219	256	229	310
RN7SKP70	2	0	5	0	1	0	0	0	0
AC113348.1	0	0	0	0	0	0	0	0	0
AC113348.2	0	1	2	1	1	1	0	0	0
ZNF354A	108	113	134	135	126	197	142	137	192
AACSP1	0	0	0	0	0	0	0	0	0
AC126915.2	0	0	0	0	0	0	0	0	0
AC126915.1	0	0	0	0	0	0	0	0	0
AC126915.3	0	0	0	0	0	0	0	0	0
ZNF354B	81	59	73	62	72	79	98	85	84
RNU1-39P	0	0	0	0	0	0	0	0	0
ZFP2	122	70	69	104	101	87	119	81	78
AC104117.1	3	0	0	0	0	0	0	0	0
PIGFP1	0	0	0	0	0	2	0	0	0
AC104117.5	0	1	0	1	0	0	0	0	2
ZNF454	61	58	68	80	66	59	78	78	78
AC104117.3	14	11	8	17	11	9	21	16	11
GRM6	0	0	0	0	0	0	0	0	0
AC104117.4	0	0	0	0	0	0	0	0	0
ZNF879	75	51	78	78	58	96	79	53	117
ZNF354C	383	290	344	352	333	375	358	346	555
AC104117.2	0	1	0	1	0	0	1	0	1
ADAMTS2	39	37	43	18	22	23	151	139	82
AC109479.3	0	0	0	0	0	0	0	0	0
AC109479.1	0	0	0	0	0	0	0	0	0
AC109479.2	0	0	0	0	0	0	0	0	0
AC136628.1	0	0	0	0	0	0	0	0	0
AC136628.4	0	0	0	0	0	0	0	0	0
AC136628.2	0	0	0	0	0	0	0	0	0
AC136628.3	0	0	0	0	0	0	0	0	1
RUFY1	1125	822	849	959	1116	966	1042	916	1021
PRDX2P3	0	0	0	0	1	0	1	0	1
AC136604.2	1	1	0	1	1	1	1	0	1
HNRNPH1	2813	3076	3961	3192	4286	5026	3020	3873	6017
C5orf60	0	0	0	2	0	4	0	0	2
AC136604.1	1	0	0	0	0	0	0	0	0
AC136604.3	0	4	4	4	0	0	3	1	2
CBY3	1	0	2	1	0	0	2	1	0
CANX	48447	40834	38368	35499	38897	36761	38862	34956	36770
HMGB3P22	15	7	9	13	17	7	12	6	15
MAML1	1106	964	1147	1395	1705	1732	1306	1271	1567
LTC4S	6	20	8	6	7	9	11	6	7
MGAT4B	5708	4949	5407	4639	5464	4270	5435	4563	4056
MIR1229	0	0	0	0	0	0	0	0	0
SQSTM1	12820	10441	17345	10839	10766	11978	11563	8831	15220
MRNIP	329	297	340	315	334	379	283	291	273
RN7SKP150	0	0	0	0	0	0	1	0	1
AC008393.1	38	34	28	34	36	35	34	22	39
TBC1D9B	5160	4209	4267	4168	5138	4633	5602	4796	4787
RNF130	1239	1010	1164	1549	1629	1642	1415	1366	1636
RPS15AP18	0	0	0	0	0	0	0	0	0
AC010285.2	0	0	0	0	0	0	1	0	1
AC010285.1	0	0	0	0	0	0	0	0	0
AC010285.3	1	1	0	0	0	1	0	3	0
MIR340	0	0	0	0	0	0	0	0	0
AC122713.2	0	0	0	0	0	0	0	0	0
AC122713.1	0	0	0	0	0	0	0	0	0
RASGEF1C	1	7	5	5	3	7	15	9	23
AC104115.1	0	0	0	0	0	0	0	0	0
MAPK9	1145	1019	1225	1011	1084	1257	1177	1088	1404
AC104115.2	0	0	0	0	0	0	0	0	0
AC008610.1	4	4	6	8	5	5	7	6	8
GFPT2	1495	1351	1535	1001	1105	1140	864	880	822
AC034213.1	0	0	0	0	0	1	0	0	1
RNU6-525P	0	0	0	0	0	0	0	0	0
CNOT6	1190	1114	1279	1355	1606	1494	1285	1313	1594
AC122714.1	0	0	0	0	0	0	0	0	0
SCGB3A1	1	2	1	0	1	5	1	3	1
FLT4	2	2	6	3	6	9	4	4	12
AC122714.2	0	0	0	0	0	0	0	0	0
LINC02222	0	0	0	0	0	0	0	0	0
OR2AI1P	0	0	0	0	0	0	0	0	0
RNU1-17P	0	0	0	0	0	0	0	0	0
OR2Y1	0	0	0	0	0	0	0	0	0
MGAT1	1510	1304	1733	1598	1764	1774	1548	1376	1697
AC022413.1	20	16	11	13	15	14	17	3	11
HEIH	546	413	567	566	606	612	685	555	684
LINC00847	435	333	380	402	389	320	518	365	385
ZFP62	418	347	436	423	425	526	392	394	554
BTNL8	0	1	1	1	4	4	0	5	1
RPS29P12	0	0	0	0	0	0	0	0	0
AC091874.3	0	0	0	0	0	0	0	0	0
AC091874.2	0	0	0	0	0	0	0	0	0
AC091874.1	0	0	0	0	0	0	0	0	0
BTNL3	0	0	0	0	0	0	0	0	0
RNU6-1036P	0	0	0	0	0	0	0	0	0
BTNL9	0	0	0	0	0	0	0	0	0
MIR8089	0	0	0	0	0	0	0	0	0
AC008620.1	0	0	0	0	0	0	0	0	0
FOXO1B	0	0	0	0	0	0	0	0	0
AC008620.2	0	0	0	0	0	0	0	0	1
OR2V1	0	0	0	0	1	0	0	0	0
OR2V2	0	0	0	0	0	0	0	0	0
LINC01962	0	0	0	0	0	0	0	0	0
AC008443.5	9	10	23	18	15	15	8	15	18
TRIM7	3	4	10	19	17	22	33	20	51
AC008443.6	0	0	1	0	0	4	2	0	0
AC008443.4	0	0	0	1	0	0	0	0	3
TRIM41	936	836	882	883	1034	903	1158	1063	912
MIR4638	0	0	0	0	0	0	0	0	0
AC008443.2	0	0	1	2	0	0	1	0	1
RACK1	28875	25645	35188	28163	30261	32251	28491	23685	34807
SNORD96A	0	0	0	0	0	0	0	0	0
SNORD95	0	0	0	0	0	0	0	0	0
AC008443.1	82	54	61	55	76	79	77	57	60
TRIM52	123	121	92	144	123	102	157	148	90
TRIM52-AS1	291	290	277	157	213	161	250	239	195
AC008443.3	2	0	0	0	2	3	1	1	1
AC008443.7	1	0	0	2	0	0	0	3	0
RNU6-705P	0	0	0	0	0	0	0	0	0
AC138035.1	2	1	0	3	1	0	1	1	0
AC138035.3	0	0	0	0	0	0	0	0	0
AC138035.2	0	0	0	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0	0	0	0
WBP1LP4	0	0	0	0	0	0	0	0	0
RPL23AP45	0	0	0	0	0	0	0	0	0
WBP1LP12	0	0	0	0	0	0	0	0	0
OR4F1P	0	0	0	0	0	0	0	0	0
CICP18	0	0	0	0	0	0	0	0	0
AL035696.2	0	0	0	0	0	0	0	0	0
AL035696.3	0	0	0	0	0	0	0	0	0
AL035696.4	0	0	0	0	0	0	0	0	0
AL035696.1	0	0	0	0	0	0	0	0	0
DUSP22	260	263	345	335	379	380	274	269	392
IRF4	7	1	3	1	10	9	1	7	2
EXOC2	923	715	890	674	771	828	984	745	1088
AL031770.1	0	0	0	0	0	0	0	0	0
HUS1B	0	1	2	0	0	0	0	1	3
AL357054.1	0	0	0	0	0	0	0	0	0
AL357054.4	0	0	1	0	2	1	1	0	1
AL357054.2	1	1	0	2	1	0	3	2	0
AL357054.3	0	0	0	0	2	0	0	0	0
AL392183.1	0	0	0	0	0	0	0	0	0
AL356130.1	0	0	0	0	0	0	0	0	0
AL356130.2	0	0	0	0	0	0	0	0	0
AL033381.2	0	0	0	0	0	0	0	0	0
AL033381.1	0	0	0	0	0	0	0	0	0
FOXQ1	3	0	1	0	0	0	40	25	16
LINC01394	0	0	0	0	0	0	1	0	0
AL034346.1	0	0	0	0	0	0	0	0	1
FOXF2	0	0	0	4	2	1	16	14	15
MIR6720	0	0	0	0	0	0	2	0	0
RN7SL352P	0	0	0	0	0	0	0	0	0
AL512329.1	0	1	0	0	0	0	0	0	0
AL512329.2	2	1	0	4	0	3	0	2	1
FOXCUT	0	0	0	0	0	0	0	0	0
FOXC1	302	333	412	140	103	167	58	55	71
GMDS	517	420	586	410	465	619	270	234	329
AL035693.1	0	0	0	0	0	0	0	0	0
GMDS-DT	151	119	127	147	101	107	118	90	108
HMGN2P28	2	1	2	1	0	0	1	1	1
AL031768.1	2	0	2	1	0	0	3	1	1
AL359852.1	0	0	0	0	0	0	0	0	0
LINC02521	0	0	0	0	1	0	2	0	0
LINC01600	1	1	0	4	6	3	4	5	8
MYLK4	21	10	9	17	16	7	17	20	6
WRNIP1	1237	978	1143	1075	1260	1118	1187	991	1082
SERPINB1	0	0	0	37	47	42	28	32	39
MIR4645	0	0	0	0	0	0	1	0	0
SERPINB9P1	0	0	4	5	3	7	1	1	8
SERPINB9	13	8	44	11	22	26	18	31	53
AL133351.3	0	0	0	0	0	0	0	0	0
AL133351.2	0	0	0	0	0	0	0	0	0
SERPINB6	6787	5729	5734	5283	5811	5818	3654	3385	3850
LINC01011	65	53	50	69	75	48	48	43	23
NQO2	666	619	810	557	684	750	525	464	635
AL133351.1	2	9	5	16	19	14	2	4	4
HTATSF1P2	0	0	0	6	11	2	0	0	0
AL133351.4	0	0	0	0	0	0	0	0	0
FAM136BP	0	0	0	0	0	0	0	0	0
SERPINB8P1	0	0	0	0	0	0	0	0	0
AL031963.2	1	1	0	1	0	0	0	0	0
RIPK1	1473	1162	1301	1263	1486	1494	1151	1049	1279
