	Length
AC020633.1	2247
AC020634.1	549
AC020636.1	565
AC020636.2	1329
AC020637.1	1729
AC020651.1	360
AC020656.1	599
AC020656.2	5309
AC020658.1	938
AC020658.2	4020
AC020658.3	4028
AC020658.4	684
AC020658.5	442
AC020658.6	1870
AC020658.7	2442
AC020659.1	3653
AC020659.2	979
AC020661.1	1584
AC020661.2	414
AC020661.3	500
AC020661.4	1854
AC020663.1	556
AC020663.2	720
AC020663.3	1091
AC020663.4	2234
AC020687.1	448
AC020688.1	1248
AC020699.1	445
AC020703.1	521
AC020704.1	454
AC020718.1	556
AC020719.1	618
AC020728.1	1216
AC020741.1	2079
AC020743.1	767
AC020743.2	1426
AC020743.3	360
AC020763.1	551
AC020763.2	1255
AC020763.3	2904
AC020763.4	4170
AC020763.5	430
AC020765.1	328
AC020765.2	432
AC020765.3	740
AC020765.4	400
AC020765.5	633
AC020779.1	796
AC020779.2	393
AC020891.1	174
AC020891.2	776
AC020891.3	363
AC020891.4	93
AC020892.1	855
AC020892.2	387
AC020893.1	580
AC020893.2	723
AC020895.1	272
AC020895.2	1839
AC020897.1	561
AC020898.1	787
AC020899.1	602
AC020900.1	565
AC020904.1	729
AC020904.2	1736
AC020904.3	442
AC020905.1	575
AC020907.1	3099
AC020907.2	735
AC020907.3	565
AC020907.4	526
AC020907.5	1936
AC020907.6	1781
AC020908.1	280
AC020908.2	405
AC020908.3	610
AC020909.1	1265
AC020909.2	626
AC020909.3	375
AC020910.1	413
AC020910.2	610
AC020910.3	874
AC020910.4	540
AC020910.5	1865
AC020910.6	1459
AC020911.1	578
AC020911.2	803
AC020912.1	5059
AC020913.1	495
AC020913.2	629
AC020913.3	125
AC020914.1	430
AC020914.2	304
AC020914.3	277
AC020914.4	329
AC020914.5	272
AC020915.1	4227
AC020915.2	550
AC020915.3	2708
AC020915.4	964
AC020915.5	3948
AC020916.1	19049
AC020916.2	360
AC020917.1	893
AC020917.2	401
AC020917.3	721
AC020917.4	1999
AC020922.1	3058
AC020922.2	359
AC020922.3	547
AC020922.4	339
AC020923.1	917
AC020928.1	2050
AC020928.2	2197
AC020931.1	1346
AC020934.1	739
AC020934.2	456
AC020937.1	1013
AC020951.1	2271
AC020978.1	428
AC020978.2	490
AC020978.3	460
AC020978.4	533
AC020978.5	3177
AC020978.6	1187
AC020978.7	3022
AC020978.8	1141
AC020978.9	2704
AC020980.1	458
AC020983.1	543
AC021006.1	553
AC021006.2	1026
AC021006.3	192
AC021016.1	498
AC021016.2	2048
AC021016.3	477
AC021028.1	598
AC021035.1	427
AC021054.1	3530
AC021066.1	647
AC021066.2	685
AC021066.3	323
AC021072.1	835
AC021074.1	633
AC021074.2	172
AC021074.3	2060
AC021078.1	8636
AC021086.1	1713
AC021087.1	522
AC021087.2	1203
AC021087.3	2881
AC021087.4	564
AC021088.1	805
AC021092.1	3488
AC021097.1	574
AC021097.2	463
AC021106.1	1058
AC021106.2	710
AC021106.3	531
AC021127.1	566
AC021146.1	716
AC021146.10	706
AC021146.11	491
AC021146.12	477
AC021146.2	556
AC021146.3	260
AC021146.4	279
AC021146.5	545
AC021146.6	117
AC021146.7	775
AC021146.8	733
AC021146.9	156
AC021148.1	1651
AC021151.1	183
AC021171.1	706
AC021171.2	1080
AC021180.1	558
AC021188.1	740
AC021192.1	791
AC021193.1	420
AC021205.1	348
AC021205.2	347
AC021205.3	1709
AC021218.1	2536
AC021220.1	630
AC021224.1	857
AC021231.1	1342
AC021231.2	730
AC021231.3	370
AC021237.1	1643
AC021242.1	2035
AC021242.2	1525
AC021242.3	1377
AC021269.1	705
AC021269.2	330
AC021321.1	1113
AC021351.1	1619
AC021355.1	1882
AC021382.1	922
AC021393.1	433
AC021422.1	473
AC021439.1	591
AC021443.1	211
AC021451.1	1129
AC021483.1	539
AC021483.2	758
AC021491.1	349
AC021491.2	886
AC021491.3	156
AC021491.4	2573
AC021506.1	597
AC021506.2	169
AC021517.1	2607
AC021517.2	735
AC021534.1	547
AC021546.1	1031
AC021549.1	433
AC021594.1	636
AC021594.2	527
AC021613.1	111
AC021646.1	484
AC021660.1	554
AC021660.2	388
AC021660.3	592
AC021678.1	936
AC021678.2	887
AC021678.3	476
AC021683.1	1767
AC021683.2	5079
AC021683.3	4613
AC021683.4	1099
AC021683.5	2722
AC021698.1	716
AC021713.1	510
AC021723.1	515
AC021723.2	2383
AC021733.1	325
AC021733.2	497
AC021736.1	563
AC021739.1	174
AC021739.2	964
AC021739.3	855
AC021739.4	569
AC021739.5	494
AC021744.1	549
AC021749.1	607
AC021752.1	2669
AC021753.1	168
AC021755.1	1447
AC021755.2	864
AC021755.3	456
AC021766.1	741
AC021785.1	453
AC021818.1	1257
AC021818.2	731
AC021820.1	808
AC021851.1	1082
AC021860.1	376
AC021876.1	359
AC021915.1	824
AC021915.2	635
AC021945.1	1650
AC021979.1	336
AC021979.2	209
AC022001.1	268
AC022001.2	580
AC022001.3	596
AC022007.1	2533
AC022017.1	559
AC022018.1	241
AC022021.1	843
AC022022.1	178
AC022022.2	360
AC022023.1	1936
AC022028.1	408
AC022028.2	2619
AC022031.1	2593
AC022031.2	1231
AC022034.1	2387
AC022034.2	478
AC022034.3	469
AC022035.1	302
AC022039.1	488
AC022068.1	985
AC022069.1	658
AC022075.1	2830
AC022075.2	649
AC022079.1	602
AC022079.2	566
AC022080.1	781
AC022080.2	533
AC022080.3	482
AC022081.1	433
AC022087.1	612
AC022092.1	504
AC022098.1	3186
AC022098.2	518
AC022098.3	315
AC022098.4	352
AC022106.1	766
AC022106.2	757
AC022107.1	3094
AC022113.1	1674
AC022113.2	704
AC022118.1	547
AC022121.1	579
AC022126.1	593
AC022133.1	571
AC022137.1	151
AC022137.2	481
AC022140.1	1154
AC022140.2	188
AC022144.1	1580
AC022145.1	383
AC022145.2	171
AC022146.1	847
AC022146.2	348
AC022148.1	3267
AC022148.2	560
AC022149.1	609
AC022149.2	203
AC022150.1	640
AC022150.2	644
AC022150.3	880
AC022150.4	2848
AC022154.1	1330
AC022164.1	2673
AC022165.1	596
AC022166.1	755
AC022166.2	536
AC022167.1	409
AC022167.2	2642
AC022167.3	427
AC022167.4	498
AC022167.5	1627
AC022168.1	1860
AC022173.1	577
AC022182.1	1363
AC022182.2	859
AC022182.3	2167
AC022188.1	1664
AC022196.1	721
AC022201.1	577
AC022201.2	287
AC022202.1	211
AC022206.1	347
AC022210.1	793
AC022211.1	717
AC022211.2	2527
AC022211.3	400
AC022211.4	2161
AC022215.1	362
AC022217.1	738
AC022217.2	472
AC022217.3	837
AC022217.4	163
AC022239.1	2594
AC022240.1	684
AC022254.1	235
AC022272.1	777
AC022274.1	490
AC022294.1	865
AC022296.1	682
AC022296.2	202
AC022296.3	403
AC022306.1	1562
AC022306.2	647
AC022306.3	550
AC022325.1	2199
AC022335.1	855
AC022336.1	337
AC022336.2	2538
AC022336.3	1986
AC022360.1	340
AC022364.1	2728
AC022364.2	554
AC022367.1	553
AC022382.1	336
AC022384.1	2977
AC022387.1	794
AC022387.2	448
AC022390.1	434
AC022392.1	744
AC022395.1	2085
AC022398.1	510
AC022400.1	445
AC022400.2	866
AC022400.3	3810
AC022400.4	286
AC022400.5	1192
AC022400.6	5818
AC022400.7	1236
AC022400.8	3599
AC022400.9	273
AC022404.1	273
AC022405.1	516
AC022413.1	984
AC022414.1	3397
AC022415.1	1517
AC022417.1	1303
AC022418.1	445
AC022424.1	889
AC022424.2	454
AC022431.1	536
AC022432.1	310
AC022440.1	2752
AC022441.1	794
AC022441.2	382
AC022441.3	136
AC022445.1	408
AC022447.1	464
AC022447.2	543
AC022447.3	495
AC022447.4	364
AC022447.5	392
AC022447.6	438
AC022447.7	435
AC022467.1	749
AC022469.1	656
AC022469.2	396
AC022483.1	567
AC022486.1	1483
AC022493.1	337
AC022493.2	481
AC022494.1	728
AC022497.1	3691
AC022498.1	696
AC022506.1	105
AC022507.1	1505
AC022509.1	1128
AC022509.2	699
AC022509.3	826
AC022509.4	572
AC022511.1	476
AC022513.1	117
AC022517.1	346
AC022523.1	364
AC022523.2	150
AC022523.3	410
AC022532.1	1728
AC022535.1	691
AC022537.1	446
AC022540.1	1230
AC022558.1	454
AC022558.2	754
AC022558.3	688
AC022559.1	205
AC022568.1	922
AC022596.1	302
AC022596.2	3078
AC022601.1	577
AC022613.1	2736
AC022613.2	1451
AC022613.3	1346
AC022616.1	554
AC022616.2	300
AC022616.3	148
AC022616.4	181
AC022616.5	181
AC022616.6	119
AC022616.7	220
AC022616.8	253
AC022634.1	532
AC022634.2	382
AC022639.1	2320
AC022655.1	288
AC022655.2	318
AC022662.1	331
AC022679.1	772
AC022679.2	813
AC022690.1	550
AC022690.2	589
AC022695.1	237
AC022695.2	768
AC022695.3	478
AC022706.1	714
AC022709.1	87
AC022710.1	1781
AC022726.1	207
AC022726.2	547
AC022730.1	568
AC022730.2	452
AC022730.3	736
AC022730.4	2367
AC022733.1	739
AC022733.2	531
AC022743.1	664
AC022748.1	392
AC022748.2	2668
AC022748.3	275
AC022762.1	816
AC022762.2	1353
AC022778.1	545
AC022784.1	17427
AC022784.2	328
AC022784.3	422
AC022784.4	437
AC022784.5	651
AC022784.6	559
AC022790.1	204
AC022795.1	480
AC022796.1	526
AC022809.1	428
AC022816.1	804
AC022819.1	3910
AC022826.1	805
AC022826.2	776
AC022832.1	645
AC022858.1	977
AC022868.1	391
AC022872.1	781
AC022874.1	550
AC022878.1	149
AC022880.1	973
AC022880.2	270
AC022882.1	501
AC022893.1	3549
AC022893.2	3296
AC022893.3	437
AC022898.1	982
AC022898.2	1312
AC022903.1	469
AC022903.2	972
AC022905.1	3048
AC022915.1	289
AC022915.2	2372
AC022915.3	594
AC022916.1	2814
AC022916.2	559
AC022916.3	742
AC022916.4	475
AC022919.1	626
AC022929.1	823
AC022929.2	2127
AC022960.1	348
AC022960.2	666
AC022960.3	441
AC022966.1	367
AC022968.1	442
AC022973.1	575
AC022973.2	549
AC022973.3	467
AC022973.4	917
AC023024.1	2590
AC023024.2	1993
AC023034.1	1087
AC023034.2	476
AC023043.1	609
AC023043.2	1026
AC023043.3	385
AC023043.4	449
AC023050.1	304
AC023050.2	387
AC023050.3	333
AC023050.4	1380
AC023051.1	876
AC023051.2	460
AC023055.1	2534
AC023078.1	952
AC023078.2	988
AC023078.3	958
AC023078.4	961
AC023078.5	707
AC023078.6	1718
AC023078.7	961
AC023090.1	502
AC023090.2	2110
AC023095.1	2664
AC023115.1	574
AC023128.1	799
AC023128.2	1223
AC023136.1	1105
AC023137.1	308
AC023141.1	379
AC023141.10	200
AC023141.11	202
AC023141.12	199
AC023141.13	943
AC023141.2	550
AC023141.3	278
AC023141.4	328
AC023141.5	616
AC023141.6	337
AC023141.7	407
AC023141.8	208
AC023141.9	412
AC023154.1	4840
AC023157.1	402
AC023157.2	141
AC023157.3	2088
AC023158.1	1025
AC023158.2	543
AC023161.1	420
AC023161.2	780
AC023162.1	474
AC023194.1	308
AC023194.2	406
AC023194.3	502
AC023200.1	651
AC023202.1	491
AC023206.1	298
AC023232.1	285
AC023245.1	517
AC023245.2	2978
AC023271.1	1090
AC023274.1	595
AC023274.2	521
AC023300.1	382
AC023300.2	612
AC023300.3	5025
AC023301.1	2206
AC023302.1	492
AC023310.1	735
AC023310.2	547
AC023310.3	670
AC023310.4	650
AC023347.1	920
AC023347.2	462
AC023355.1	4710
AC023385.1	2041
AC023389.1	576
AC023389.2	955
AC023394.1	312
AC023394.2	792
AC023403.1	983
AC023421.1	1785
AC023421.2	731
AC023424.1	459
AC023424.2	777
AC023442.1	422
AC023442.2	270
AC023442.3	1160
AC023449.1	154
AC023449.2	2400
AC023469.1	469
AC023469.2	657
AC023481.1	938
AC023490.1	1079
AC023490.2	470
AC023490.3	358
AC023491.1	603
AC023491.2	2404
AC023509.1	1571
AC023509.2	2297
AC023509.3	2690
AC023509.4	775
AC023509.5	807
AC023509.6	867
AC023510.1	490
AC023510.2	746
AC023511.1	571
AC023511.2	211
AC023512.1	499
AC023513.1	691
AC023538.1	736
AC023575.1	358
AC023590.1	2968
AC023593.1	2779
AC023595.1	564
AC023632.1	375
AC023632.2	1789
AC023632.3	145
AC023632.4	191
AC023632.5	491
AC023632.6	2177
AC023644.1	928
AC023669.1	524
AC023669.2	239
AC023762.1	584
AC023781.1	1050
AC023790.1	347
AC023790.2	2403
AC023794.1	403
AC023794.2	528
AC023794.3	1390
AC023794.4	754
AC023794.5	2157
AC023796.1	670
AC023796.2	451
AC023813.1	306
AC023813.2	469
AC023813.3	539
AC023813.4	580
AC023818.1	2304
AC023824.1	2975
AC023824.2	400
AC023824.3	1262
AC023824.4	1766
AC023824.5	703
AC023824.6	5731
AC023825.1	1030
AC023825.2	672
AC023827.1	97
AC023830.1	1543
AC023830.2	1662
AC023830.3	1455
AC023855.1	359
AC023866.1	680
AC023866.2	387
AC023886.1	952
AC023886.2	411
AC023905.1	1481
AC023906.1	453
AC023906.2	462
AC023906.3	874
AC023906.4	1538
AC023906.5	635
AC023908.1	567
AC023908.2	318
AC023908.3	3047
AC023932.1	175
AC023934.1	2389
AC023946.1	594
AC023968.1	475
AC023968.2	1049
AC023983.1	567
AC023983.2	562
AC024022.1	1326
AC024023.1	922
AC024028.1	437
AC024060.1	494
AC024067.1	223
AC024075.1	546
AC024075.2	1473
AC024075.3	533
AC024082.1	699
AC024082.2	238
AC024084.1	455
AC024085.1	432
AC024132.1	2509
AC024132.2	482
AC024132.3	649
AC024145.1	775
AC024153.1	365
AC024224.1	609
AC024224.2	782
AC024230.1	889
AC024243.1	778
AC024255.1	102
AC024257.1	566
AC024257.2	147
AC024257.3	6938
AC024257.4	458
AC024257.5	531
AC024267.1	895
AC024267.2	417
AC024267.3	562
AC024267.4	996
AC024267.5	599
AC024267.6	1264
AC024270.1	404
AC024270.2	499
AC024270.3	396
AC024270.4	421
AC024288.1	210
AC024293.1	498
AC024337.1	1635
AC024337.2	2797
AC024341.1	1552
AC024361.1	642
AC024361.2	898
AC024361.3	333
AC024382.1	292
AC024405.1	1042
AC024405.2	1562
AC024451.1	779
AC024451.2	1108
AC024451.3	463
AC024451.4	752
AC024475.1	605
AC024475.2	879
AC024475.3	1204
AC024475.4	1426
AC024558.1	528
AC024559.1	566
AC024559.2	585
AC024560.1	1471
AC024560.2	1497
AC024560.3	349
AC024563.1	870
AC024563.2	481
AC024568.1	2260
AC024575.1	682
AC024579.1	371
AC024580.1	674
AC024580.2	231
AC024581.1	566
AC024581.2	252
AC024587.1	2157
AC024587.2	1016
AC024589.1	263
AC024589.2	1294
AC024592.1	356
AC024592.2	1188
AC024592.3	2193
AC024595.1	387
AC024597.1	706
AC024598.1	3379
AC024600.1	2572
AC024601.1	524
AC024603.1	592
AC024610.1	323
AC024610.2	7005
AC024614.1	307
AC024614.2	372
AC024614.3	256
AC024614.4	2396
AC024619.1	556
AC024619.2	517
AC024619.3	323
AC024619.4	316
AC024651.1	1963
AC024651.2	2098
AC024681.1	487
AC024681.2	204
AC024884.1	399
AC024884.2	1247
AC024896.1	2549
AC024901.1	718
AC024908.1	764
AC024909.1	599
AC024909.2	2257
AC024933.1	348
AC024937.1	344
AC024937.2	1242
AC024940.1	7202
AC024940.2	606
AC024940.3	316
AC024940.4	246
AC024940.5	474
AC024941.1	334
AC024941.2	493
AC024958.1	1240
AC024995.1	93
AC025030.1	573
AC025030.2	567
AC025031.1	562
AC025031.2	627
AC025031.3	368
AC025031.4	3271
AC025031.5	2523
AC025033.1	194
AC025034.1	1711
AC025034.2	286
AC025035.1	894
AC025038.1	336
AC025040.1	1341
AC025040.2	1852
AC025043.1	625
AC025048.1	542
AC025048.2	1566
AC025048.3	569
AC025048.4	699
AC025048.5	421
AC025048.6	1161
AC025062.1	644
AC025062.2	670
AC025062.3	344
AC025125.1	1922
AC025154.1	560
AC025154.2	1574
AC025161.1	591
AC025162.1	565
AC025162.2	560
AC025164.1	7589
AC025165.1	2600
AC025165.2	699
AC025165.3	679
AC025165.4	433
AC025165.5	578
AC025166.1	163
AC025171.1	2784
AC025171.2	2773
AC025171.3	553
AC025171.4	1047
AC025171.5	920
AC025174.1	295
AC025175.1	759
AC025176.1	365
AC025178.1	834
AC025180.1	611
AC025181.1	416
AC025181.2	802
AC025183.1	425
AC025183.2	428
AC025183.3	1482
AC025186.1	870
AC025187.1	686
AC025188.1	600
AC025198.1	419
AC025211.1	373
AC025219.1	526
AC025244.1	469
AC025244.2	422
AC025252.1	556
AC025252.2	502
AC025253.1	543
AC025254.1	247
AC025257.1	375
AC025259.1	647
AC025259.2	772
AC025259.3	915
AC025260.1	430
AC025262.1	589
AC025262.2	1056
AC025262.3	360
AC025263.1	2788
AC025263.2	548
AC025263.3	1396
AC025265.1	1063
AC025265.2	478
AC025265.3	468
AC025268.1	1199
AC025271.1	429
AC025271.2	800
AC025271.3	255
AC025271.4	1726
AC025272.1	518
AC025277.1	1655
AC025278.1	515
AC025278.2	1063
AC025278.3	796
AC025279.1	4818
AC025279.2	653
AC025279.3	104
AC025280.1	260
AC025280.2	3069
AC025280.3	1331
AC025281.1	265
AC025283.1	734
AC025283.2	2905
AC025283.3	1270
AC025284.1	579
AC025287.1	798
AC025287.2	668
AC025287.3	501
AC025287.4	1240
AC025300.1	384
AC025366.1	202
AC025370.1	583
AC025419.1	4293
AC025423.1	374
AC025423.2	439
AC025423.3	469
AC025423.4	785
AC025423.5	219
AC025428.1	403
AC025428.2	2672
AC025430.1	498
AC025431.1	874
AC025434.1	460
AC025437.1	346
AC025437.2	548
AC025437.3	771
AC025437.4	681
AC025437.5	314
AC025437.6	935
AC025442.1	481
AC025445.1	300
AC025449.1	529
AC025458.1	166
AC025459.1	156
AC025465.1	797
AC025465.2	608
AC025465.3	311
AC025465.4	638
AC025470.1	2032
AC025470.2	897
AC025475.1	487
AC025518.1	347
AC025521.1	286
AC025524.1	606
AC025524.2	3155
AC025538.1	1486
AC025539.1	4019
AC025554.1	188
AC025566.1	604
AC025569.1	6368
AC025572.1	553
AC025574.1	1653
AC025575.1	544
AC025575.2	565
AC025576.1	462
AC025576.2	390
AC025578.1	543
AC025580.1	729
AC025580.2	3886
AC025580.3	1424
AC025588.1	2072
AC025588.2	466
AC025588.3	274
AC025588.4	908
AC025594.1	543
AC025594.2	790
AC025627.1	730
AC025627.2	160
AC025627.3	182
AC025627.4	104
AC025647.1	253
AC025674.1	324
AC025674.2	2971
AC025678.1	338
AC025678.2	970
AC025678.3	4824
AC025682.1	1242
AC025741.1	552
AC025750.1	379
AC025750.2	450
AC025752.1	558
AC025754.1	407
AC025754.2	432
AC025755.1	278
AC025766.1	409
AC025768.1	267
AC025773.1	559
AC025809.1	560
AC025809.2	1802
AC025810.1	981
AC025811.1	472
AC025822.1	633
AC025822.2	2287
AC025857.1	377
AC025857.2	238
AC025871.1	733
AC025871.2	511
AC025881.1	512
AC025884.1	378
AC025884.2	711
AC025884.3	343
AC025887.1	264
AC025887.2	5012
AC025917.1	1211
AC025918.1	383
AC025918.2	763
AC025946.1	430
AC025946.2	234
AC025947.1	299
AC026100.1	900
AC026108.1	547
AC026111.1	1195
AC026116.1	474
AC026117.1	883
AC026120.1	926
AC026120.2	309
AC026124.1	3457
AC026124.2	656
AC026150.1	701
AC026150.2	1156
AC026150.3	499
AC026167.1	299
AC026185.1	174
AC026191.1	1649
AC026202.1	585
AC026202.2	672
AC026202.3	1127
AC026250.1	2632
AC026254.1	322
AC026254.2	454
AC026271.1	1348
AC026271.2	352
AC026271.3	1833
AC026271.4	130
AC026304.1	561
AC026310.1	378
AC026310.2	728
AC026310.3	2373
AC026316.1	414
AC026316.2	263
AC026316.3	3097
AC026316.4	4226
AC026316.5	1545
AC026320.1	903
AC026320.2	478
AC026333.1	28
AC026333.2	106
AC026333.3	2090
AC026333.4	544
AC026336.1	351
AC026336.2	763
AC026336.3	2076
AC026336.4	1050
AC026336.5	738
AC026347.1	474
AC026348.1	1053
AC026353.1	558
AC026355.1	587
AC026355.2	723
AC026355.3	727
AC026356.1	1357
AC026356.2	1796
AC026358.1	2256
AC026362.1	5618
AC026362.2	5566
AC026367.1	611
AC026367.2	553
AC026367.3	590
AC026368.1	690
AC026369.1	5439
AC026369.2	1101
AC026369.3	586
AC026371.1	419
AC026391.1	3389
AC026396.1	421
AC026398.1	3126
AC026401.1	530
AC026401.2	503
AC026401.3	882
AC026402.1	170
AC026403.1	295
AC026407.1	204
AC026410.1	1101
AC026410.2	156
AC026410.3	936
AC026412.1	3364
AC026412.2	1075
AC026412.3	1661
AC026414.1	698
AC026415.1	471
AC026421.1	163
AC026422.1	452
AC026427.1	555
AC026427.2	536
AC026434.1	454
AC026434.2	1078
AC026436.1	270
AC026444.1	496
AC026458.1	438
AC026458.2	531
AC026461.1	551
AC026461.2	244
AC026461.3	444
AC026461.4	261
AC026462.1	739
AC026462.2	286
AC026462.3	1137
AC026462.4	1430
AC026462.5	1916
AC026464.1	747
AC026464.2	2421
AC026464.3	564
AC026464.4	1284
AC026464.5	722
AC026464.6	887
AC026468.1	107
AC026469.1	3306
AC026470.1	181
AC026470.2	438
AC026470.3	308
AC026471.1	3026
AC026471.2	655
AC026471.3	578
AC026471.4	449
AC026471.5	467
AC026471.6	1905
AC026474.1	428
AC026477.1	616
AC026495.1	1577
AC026523.1	1780
AC026523.2	7739
AC026583.1	569
AC026585.1	524
AC026616.1	525
AC026620.1	326
AC026624.1	928
AC026634.1	198
AC026688.1	1168
AC026688.2	1865
AC026691.1	2017
AC026700.1	544
AC026704.1	770
AC026719.1	456
AC026719.2	295
AC026725.1	1588
AC026726.1	601
AC026740.1	791
AC026740.2	109
AC026741.1	2237
AC026746.1	3473
AC026748.1	3251
AC026765.1	435
AC026765.2	1330
AC026770.1	581
AC026771.1	415
AC026774.1	691
AC026774.2	1098
AC026780.1	1365
AC026780.2	730
AC026782.1	449
AC026782.2	636
AC026784.1	352
AC026785.1	580
AC026785.2	867
AC026785.3	285
AC026786.1	1374
AC026786.2	392
AC026787.1	420
AC026790.1	430
AC026797.1	2869
AC026798.1	482
AC026801.1	425
AC026801.2	1565
AC026803.1	274
AC026803.2	946
AC026826.1	361
AC026826.2	214
AC026826.3	158
AC026877.1	1411
AC026884.1	457
AC026887.1	2985
AC026888.1	592
AC026894.1	1255
AC026898.1	571
AC026904.1	537
AC026904.2	1579
AC026904.3	559
AC026950.2	470
AC026951.1	2459
AC026951.2	241
AC026954.1	1293
AC026954.2	2571
AC026954.3	421
AC026956.1	396
AC026979.1	583
AC026979.2	403
AC026979.3	645
AC026979.4	4587
AC026991.1	463
AC026991.2	811
AC026992.1	883
AC026992.2	4820
AC027013.1	1057
AC027018.1	707
AC027020.1	632
AC027020.2	2389
AC027026.1	742
AC027031.1	489
AC027031.2	1419
AC027045.1	202
AC027045.2	1571
AC027045.3	2884
AC027088.1	1117
AC027088.2	916
AC027088.3	872
AC027088.4	1947
AC027097.1	2397
AC027097.2	2670
AC027104.1	681
AC027117.1	2066
AC027117.2	510
AC027119.1	241
AC027124.1	466
AC027124.2	105
AC027130.1	994
AC027139.1	951
AC027139.2	448
AC027176.1	514
AC027176.2	746
AC027176.3	586
AC027216.1	685
AC027228.1	325
AC027228.2	2154
AC027228.3	1266
AC027229.1	253
AC027237.1	655
AC027237.2	391
AC027237.3	2265
AC027237.4	694
AC027243.1	758
AC027243.2	724
AC027250.1	951
AC027271.1	610
AC027277.1	533
AC027277.2	435
AC027279.1	4284
AC027279.2	793
AC027279.3	122
AC027279.4	2072
AC027281.1	758
AC027281.2	713
AC027287.1	1453
AC027287.2	592
AC027288.1	1394
AC027288.2	243
AC027288.3	2253
AC027290.1	484
AC027290.2	18662
AC027307.1	457
AC027307.2	911
AC027307.3	1100
AC027308.1	110
AC027309.1	528
AC027309.2	192
AC027309.3	351
AC027312.1	1571
AC027313.1	1666
AC027315.1	469
AC027319.1	511
AC027328.1	335
AC027329.1	4355
AC027334.1	310
AC027335.1	543
AC027335.2	375
AC027338.1	825
AC027338.2	526
AC027343.1	407
AC027343.2	343
AC027343.3	564
AC027345.1	500
AC027348.1	615
AC027348.2	642
AC027369.1	2242
AC027369.2	440
AC027369.3	3707
AC027369.4	816
AC027369.5	755
AC027369.6	931
AC027373.1	1142
AC027419.1	328
AC027419.2	497
AC027449.1	407
AC027451.1	553
AC027455.1	594
AC027458.1	613
AC027506.1	198
AC027514.1	1603
AC027514.2	637
AC027541.1	485
AC027544.1	433
AC027544.2	630
AC027544.3	757
AC027559.1	970
AC027575.1	2747
AC027575.2	586
AC027601.1	4506
AC027601.2	805
AC027601.3	509
AC027601.4	610
AC027601.5	2482
AC027607.1	534
AC027612.1	2395
AC027612.2	1532
AC027612.3	1047
AC027612.4	583
AC027613.1	2414
AC027627.1	753
AC027644.1	298
AC027644.2	240
AC027644.3	557
AC027644.4	4139
AC027667.1	304
AC027673.1	405
AC027682.1	899
AC027682.2	336
AC027682.3	207
AC027682.4	1184
AC027682.5	530
AC027682.6	883
AC027682.7	2121
AC027688.1	584
AC027688.2	511
AC027698.1	625
AC027701.1	1164
AC027702.1	1770
AC027763.1	720
AC027763.2	539
AC027779.1	516
AC027796.1	512
AC027796.2	344
AC027796.3	4753
AC027796.4	874
AC027796.5	560
AC027801.1	1816
AC027801.2	698
AC027801.3	395
AC027801.4	416
AC027804.1	529
AC027807.1	996
AC027807.2	408
AC027808.1	683
AC027808.2	744
AC032011.1	1549
AC032019.1	173
AC032019.2	403
AC032044.1	691
AC032044.2	186
AC034102.1	604
AC034102.2	489
AC034102.3	300
AC034102.4	434
AC034102.5	540
AC034102.6	1294
AC034102.7	470
AC034102.8	484
AC034105.1	319
AC034105.2	238
AC034105.3	442
AC034105.4	277
AC034105.5	314
AC034111.1	3770
AC034114.1	285
AC034114.2	1640
AC034154.1	770
AC034159.1	583
AC034187.1	561
AC034195.1	1337
AC034198.1	202
AC034198.2	510
AC034199.1	2182
AC034205.1	638
AC034205.2	2058
AC034205.3	1376
AC034206.1	887
AC034207.1	948
AC034213.1	806
AC034222.1	532
AC034223.1	599
AC034223.2	425
AC034226.1	487
AC034228.1	923
AC034228.2	459
AC034228.3	562
AC034229.1	943
AC034229.2	2508
AC034229.3	2436
AC034229.4	441
AC034229.5	185
AC034229.6	224
AC034231.1	537
AC034232.1	1064
AC034232.2	917
AC034234.1	717
AC034236.1	373
AC034236.2	1610
AC034236.3	461
AC034238.1	4140
AC034238.2	567
AC034238.3	591
AC034243.1	587
AC034244.1	207
AC034244.2	858
AC034245.1	1227
AC034268.1	482
AC034268.2	1446
AC035139.1	273
AC035140.1	493
AC036101.1	597
AC036103.1	988
AC036108.1	588
AC036108.2	2562
AC036108.3	2677
AC036111.1	1582
AC036111.2	901
AC036111.3	112
AC036164.1	333
AC036176.1	785
AC036176.2	1153
AC036176.3	418
AC036214.1	2455
AC036214.2	917
AC036214.3	1527
AC036214.4	1915
AC036222.1	701
AC036222.2	333
AC037198.1	733
AC037198.2	526
AC037441.1	4023
AC037441.2	898
AC037450.1	647
AC037459.1	1198
AC037459.2	4076
AC037459.3	2750
AC037459.4	585
AC037471.1	1699
AC037471.2	598
AC037479.1	625
AC037486.1	790
AC037487.1	2474
AC037487.2	537
AC037487.3	112
AC037487.4	625
AC039056.1	467
AC039056.2	511
AC040160.1	2677
AC040160.2	1675
AC040162.1	5685
AC040162.2	157
AC040162.3	3907
AC040168.1	991
AC040169.1	521
AC040169.2	1015
AC040169.3	612
AC040169.4	2184
AC040173.1	1275
AC040174.1	3825
AC040174.2	465
AC040896.1	479
AC040904.1	223
AC040914.1	318
AC040918.1	632
AC040926.1	238
AC040934.1	513
AC040936.1	172
AC040958.1	201
AC040963.1	911
AC040970.1	807
AC040975.1	316
AC040977.1	343
AC040977.2	498
